graph_id,n_nodes,precision_A,precision_B,precision_delta,recall_A,recall_B,recall_delta,f1_A,f1_B,f1_delta,jaccard_A,jaccard_B,jaccard_delta,tp_A,tp_B,tp_delta,fp_A,fp_B,fp_delta,fn_A,fn_B,fn_delta
25289,10,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.4,0.16666666666666666,-0.23333333333333336,4.0,2.0,-2.0,3.0,5.0,2.0,3.0,5.0,2.0
36940,9,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.16666666666666666,0.2727272727272727,0.10606060606060605,2.0,3.0,1.0,5.0,4.0,-1.0,5.0,4.0,-1.0
23355,10,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0.4,0.2727272727272727,-0.12727272727272732,4.0,3.0,-1.0,3.0,4.0,1.0,3.0,4.0,1.0
12298,10,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.16666666666666666,0.4,0.23333333333333336,2.0,4.0,2.0,5.0,3.0,-2.0,5.0,3.0,-2.0
15540,10,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.07692307692307693,0.16666666666666666,0.08974358974358973,1.0,2.0,1.0,6.0,5.0,-1.0,6.0,5.0,-1.0
19309,10,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.07692307692307693,0.07692307692307693,0.0,1.0,1.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0
13516,10,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.07692307692307693,0.07692307692307693,0.0,1.0,1.0,7.0,6.0,-1.0,7.0,6.0,-1.0
40184,9,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.2727272727272727,0.16666666666666666,-0.10606060606060605,3.0,2.0,-1.0,4.0,5.0,1.0,4.0,5.0,1.0
2079,8,0.16666666666666666,0.5,0.33333333333333337,0.16666666666666666,0.5,0.33333333333333337,0.16666666666666666,0.5,0.33333333333333337,0.09090909090909091,0.3333333333333333,0.2424242424242424,1.0,3.0,2.0,5.0,3.0,-2.0,5.0,3.0,-2.0
1622,8,0.5,0.7142857142857143,0.2142857142857143,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.4615384615384615,0.7142857142857143,0.2527472527472528,0.3,0.5555555555555556,0.2555555555555556,3.0,5.0,2.0,3.0,2.0,-1.0,4.0,2.0,-2.0
21518,10,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.4,0.16666666666666666,-0.23333333333333336,4.0,2.0,-2.0,3.0,5.0,2.0,3.0,5.0,2.0
3191,7,0.6,0.6666666666666666,0.06666666666666665,0.5,0.6666666666666666,0.16666666666666663,0.5454545454545454,0.6666666666666666,0.12121212121212122,0.375,0.5,0.125,3.0,4.0,1.0,2.0,2.0,0.0,3.0,2.0,-1.0
13704,10,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.16666666666666666,0.16666666666666666,0.0,2.0,2.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0
8705,10,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.16666666666666666,0.16666666666666666,0.0,2.0,2.0,7.0,5.0,-2.0,7.0,5.0,-2.0
46525,9,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.16666666666666666,0.16666666666666666,0.0,2.0,2.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0
5984,10,0.5714285714285714,0.7142857142857143,0.1428571428571429,0.5714285714285714,0.7142857142857143,0.1428571428571429,0.5714285714285714,0.7142857142857143,0.1428571428571429,0.4,0.5555555555555556,0.15555555555555556,4.0,5.0,1.0,3.0,2.0,-1.0,3.0,2.0,-1.0
9752,10,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.16666666666666666,0.2727272727272727,0.10606060606060605,2.0,3.0,1.0,5.0,4.0,-1.0,5.0,4.0,-1.0
